,step,sn,pe_cycle,read_cnt,retention,block,bias_idx_num,cell_cnt
317551,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,15,5
317552,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,16,0
317553,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,17,9
317554,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,18,12
317555,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,19,27
317556,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,20,47
317557,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,21,82
317558,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,22,129
317559,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,23,336
317560,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,24,335
317561,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,25,845
317562,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,26,710
317563,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,27,1054
317564,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,28,1537
317565,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,29,2027
317566,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,30,1639
317567,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,31,1959
317568,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,32,1311
317569,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,33,1776
317570,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,34,1333
317571,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,35,681
317572,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,36,943
317573,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,37,549
317574,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,38,403
317575,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,39,260
317576,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,40,102
317577,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,41,105
317578,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,42,52
317579,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,43,32
317580,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,44,18
317581,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,45,24
317582,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,46,14
317583,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,47,21
317584,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,48,-1
317585,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,49,30
317586,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,50,43
317587,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,51,97
317588,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,52,148
317589,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,53,241
317590,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,54,474
317591,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,55,571
317592,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,56,873
317593,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,57,1203
317594,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,58,1056
317595,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,59,1732
317596,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,60,1576
317597,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,61,1843
317598,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,62,1703
317599,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,63,1544
317600,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,64,1101
317601,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,65,1200
317602,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,66,875
317603,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,67,528
317604,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,68,286
317605,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,69,472
317606,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,70,168
317607,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,71,129
317608,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,72,94
317609,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,73,60
317610,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,74,38
317611,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,75,21
317612,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,76,26
317613,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,77,28
317614,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,78,73
317615,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,79,68
317616,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,80,132
317617,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,81,192
317618,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,82,208
317619,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,83,511
317620,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,84,564
317621,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,85,526
317622,3448,2522FT1WB5M2WS201009,7000,0,12960000,300,86,639
